transaction_id,customer_id,transaction_time,amount,merchant_category,channel,hour,day_of_week,is_weekend,is_late_night,customer_avg_amount,customer_amount_std,customer_transaction_count,amount_deviation,amount_ratio,high_amount_flag,unusual_time_flag
TXN_002481,CUST_0490,2026-01-01 00:15:00,62.28,Entertainment,POS,0,3,0,1,144.79,324.45479465785456,18,-82.50999999999999,0.43014020305269707,0,1
TXN_003806,CUST_0240,2026-01-01 00:18:00,55.92,Utilities,Online,0,3,0,1,91.48772727272727,145.24255004029567,22,-35.56772727272727,0.6112295240792357,0,1
TXN_002766,CUST_0028,2026-01-01 00:26:00,5.02,Electronics,POS,0,3,0,1,47.709583333333335,40.95839909396582,24,-42.68958333333333,0.10521995056898072,0,1
TXN_002190,CUST_0164,2026-01-01 00:36:00,44.75,Travel,Online,0,3,0,1,52.98647058823529,34.17329969090936,17,-8.236470588235292,0.8445552138725757,0,1
TXN_006948,CUST_0377,2026-01-01 00:43:00,37.47,Healthcare,POS,0,3,0,1,46.050000000000004,43.82203783486113,23,-8.580000000000005,0.8136807817589575,0,1
TXN_004701,CUST_0141,2026-01-01 00:56:00,2.6,Utilities,Online,0,3,0,1,58.345416666666665,64.8309274678419,24,-55.745416666666664,0.04456219783044941,0,1
TXN_002376,CUST_0084,2026-01-01 00:56:00,79.77,Shopping,POS,0,3,0,1,46.5921052631579,42.28228530811921,19,33.1778947368421,1.7120926292007905,0,1
TXN_003916,CUST_0280,2026-01-01 00:59:00,11.81,Utilities,POS,0,3,0,1,85.74304347826087,120.46702907792513,23,-73.93304347826087,0.13773712153096462,0,1
TXN_001202,CUST_0189,2026-01-01 01:06:00,35.69,Healthcare,Online,1,3,0,1,58.16272727272727,66.58616631544983,22,-22.47272727272727,0.6136232201191016,0,1
TXN_000570,CUST_0066,2026-01-01 02:35:00,37.92,Shopping,POS,2,3,0,1,37.645,27.317308789919434,22,0.2749999999999986,1.007305086996945,0,1
TXN_007387,CUST_0466,2026-01-01 02:37:00,198.83,Shopping,Online,2,3,0,1,50.98181818181819,58.44118798997548,22,147.8481818181818,3.900017831669044,1,1
TXN_000427,CUST_0036,2026-01-01 03:27:00,36.98,Healthcare,Online,3,3,0,1,101.0108,279.20699286729905,25,-64.0308,0.3660994665916911,0,1
TXN_002635,CUST_0418,2026-01-01 04:04:00,23.62,Utilities,POS,4,3,0,1,66.97608695652174,83.65539387810676,23,-43.356086956521736,0.35266318283618425,0,1
TXN_005149,CUST_0172,2026-01-01 04:07:00,47.9,Shopping,ATM,4,3,0,1,61.66454545454546,55.63365765495977,22,-13.764545454545463,0.7767834765815039,0,1
TXN_002205,CUST_0031,2026-01-01 04:15:00,55.72,Travel,Mobile,4,3,0,1,132.20608695652172,332.210724318427,23,-76.48608695652172,0.4214631964587568,0,1
TXN_007623,CUST_0459,2026-01-01 04:56:00,173.39,Entertainment,POS,4,3,0,1,73.88625,81.30166220090729,24,99.50374999999998,2.3467153902113043,0,1
TXN_005135,CUST_0243,2026-01-01 05:18:00,6.88,Healthcare,ATM,5,3,0,1,36.9878947368421,39.86493789157855,19,-30.107894736842102,0.18600680165630293,0,1
