transaction_id,customer_id,transaction_time,amount,merchant_category,channel,hour,day_of_week,is_weekend,is_late_night,customer_avg_amount,customer_amount_std,customer_transaction_count,amount_deviation,amount_ratio,high_amount_flag,unusual_time_flag,anomaly_prediction,is_anomaly,anomaly_score,risk_flag
TXN_002481,CUST_0490,2026-01-01 00:15:00,62.28,Entertainment,POS,0,3,0,1,144.79,324.45479465785456,18,-82.50999999999999,0.430140203052697,0,1,1,0,-0.07847016190151279,UNUSUAL_TIME
TXN_003806,CUST_0240,2026-01-01 00:18:00,55.92,Utilities,Online,0,3,0,1,91.48772727272728,145.24255004029567,22,-35.56772727272727,0.6112295240792357,0,1,1,0,-0.14033431228876359,UNUSUAL_TIME
TXN_002766,CUST_0028,2026-01-01 00:26:00,5.02,Electronics,POS,0,3,0,1,47.709583333333335,40.95839909396582,24,-42.68958333333333,0.1052199505689807,0,1,1,0,-0.1509899971612519,UNUSUAL_TIME
TXN_002190,CUST_0164,2026-01-01 00:36:00,44.75,Travel,Online,0,3,0,1,52.98647058823529,34.17329969090936,17,-8.236470588235292,0.8445552138725757,0,1,1,0,-0.16760007211255634,UNUSUAL_TIME
TXN_006948,CUST_0377,2026-01-01 00:43:00,37.47,Healthcare,POS,0,3,0,1,46.05,43.82203783486113,23,-8.580000000000005,0.8136807817589575,0,1,1,0,-0.17415418216507456,UNUSUAL_TIME
TXN_004701,CUST_0141,2026-01-01 00:56:00,2.6,Utilities,Online,0,3,0,1,58.345416666666665,64.8309274678419,24,-55.74541666666666,0.0445621978304494,0,1,1,0,-0.1480491408679267,UNUSUAL_TIME
TXN_002376,CUST_0084,2026-01-01 00:56:00,79.77,Shopping,POS,0,3,0,1,46.5921052631579,42.28228530811921,19,33.1778947368421,1.7120926292007903,0,1,1,0,-0.1368989497584011,UNUSUAL_TIME
TXN_003916,CUST_0280,2026-01-01 00:59:00,11.81,Utilities,POS,0,3,0,1,85.74304347826087,120.46702907792512,23,-73.93304347826087,0.1377371215309646,0,1,1,0,-0.14519032536808668,UNUSUAL_TIME
TXN_001202,CUST_0189,2026-01-01 01:06:00,35.69,Healthcare,Online,1,3,0,1,58.16272727272727,66.58616631544983,22,-22.47272727272727,0.6136232201191016,0,1,1,0,-0.1925456798341999,UNUSUAL_TIME
TXN_000570,CUST_0066,2026-01-01 02:35:00,37.92,Shopping,POS,2,3,0,1,37.645,27.317308789919437,22,0.2749999999999986,1.007305086996945,0,1,1,0,-0.18002776883246646,UNUSUAL_TIME
TXN_007387,CUST_0466,2026-01-01 02:37:00,198.83,Shopping,Online,2,3,0,1,50.98181818181819,58.44118798997548,22,147.8481818181818,3.900017831669044,1,1,1,0,-0.05498902484929036,HIGH_AMOUNT
